coach_id,first_name,last_name,nick_name,age,date_of_birth,city_of_birth_id,nation_id,weight,height,position,experience,occupation,team_id,former_player_id,quick_left,contract_salary,contract_years,contract_extension_salary,contract_extension_years,scout_major,scout_minor,scout_international,scout_amateur,scout_amateur_preference,teach_hitting,teach_pitching,teach_fielding,handle_veterans,handle_rookies,handle_players,strategy_knowledge,heal_legs,heal_arms,heal_back,heal_other,heal_rest,management_style,personality,hitting_focus,pitching_focus,training_focus,teach_running,prevent_legs,prevent_arms,prevent_back,prevent_other,stealing,running,pinchrun,pinchhit_pos,pinchhit_pitch,hook_start,hook_relief,closer,lr_matchup,bunt_hit,bunt,hit_run,run_hit,squeeze,pitch_around,intentional_walk,hold_runner,guard_lines,infield_in,outfield_in,corners_in,shift_if,shift_of,num_pitchers,num_hitters,favor_speed_to_power,favor_avg_to_obp,favor_defense_to_offense,favor_pitching_to_hitting,favor_veterans_to_prospects,trade_aggressiveness,player_loyalty,trade_frequency,trade_preference,value_stats,value_this_year,value_last_year,value_two_years,draft_value,intl_fa_value,develop_value,ratings_value,manager_value,pitching_coach_value,hitting_coach_value,scout_value,doctor_value,busy,type,data,days_left
11,"Kris","Borden","",61,"1973-6-18",4992,206,185,181,8,27,12,20,0,0,304000,3,0,0,0,0,6,0,1,0,0,0,0,0,0,0,57,138,111,77,125,0,2,0,0,1,0,128,109,186,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,5,-5,1,4,0,-1,4,9,6,1,0,-4,3,-6,60,0,0,1,115,0,0,0,0
12,"Brian","Stone","",62,"1972-7-17",57237,206,235,195,7,26,6,28,0,5,484000,3,0,0,104,103,114,96,3,15,1,1,17,29,23,0,0,0,0,0,0,0,4,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-4,5,5,5,1,4,-1,0,5,8,4,3,3,-5,0,-3,66,7,17,102,0,0,0,0,0
13,"Miguel","Granado","",55,"1979-3-30",88787,124,225,192,5,3,5,0,0,0,0,0,0,0,6,15,0,8,0,79,17,10,86,83,85,0,0,0,0,0,0,0,2,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,7,9,-4,3,3,-2,-1,7,8,3,2,-2,4,2,0,67,34,81,8,0,0,0,0,0
14,"Brian","Eckman","",45,"1989-9-12",17621,206,185,178,4,3,4,20,1433,0,176000,3,0,0,5,20,0,16,3,10,78,21,89,88,89,0,0,0,0,0,0,0,2,3,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,-1,1,2,2,0,6,10,3,1,1,-1,-1,2,79,81,30,11,0,0,0,0,0
15,"Brian","Fitzpatrick","",54,"1980-6-30",4992,206,195,191,1,5,2,0,0,0,0,0,0,0,10,8,19,8,2,86,66,64,100,68,84,0,0,0,0,0,0,5,1,2,2,0,64,0,0,0,0,2,1,3,2,3,-1,-2,-2,3,0,1,0,1,0,3,1,-1,3,4,3,2,2,3,0,0,-4,-2,-3,0,1,-5,5,1,0,5,8,5,2,5,-2,-2,1,69,71,86,10,0,0,0,0,0
16,"Matt","White","",62,"1972-1-17",26828,206,210,194,1,28,5,5,0,0,268000,1,0,0,32,6,21,7,2,142,107,85,144,100,122,0,0,0,0,0,0,3,1,0,3,0,124,0,0,0,0,3,1,2,2,1,1,-1,0,1,2,4,3,3,3,1,0,0,-1,2,1,2,-1,-1,0,0,0,-2,3,5,4,-9,2,1,0,5,11,4,0,8,-1,-9,7,107,111,137,17,0,0,0,0,0
17,"Rich","Block","",47,"1987-6-16",1527,206,200,186,3,16,1,29,0,0,1346000,1,0,0,34,36,27,30,1,2,9,11,15,15,15,0,0,0,0,0,0,0,3,3,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,2,2,5,0,0,7,10,3,0,-7,0,-1,-4,87,11,5,32,0,0,0,0,0
18,"J.D.","Higgs","",60,"1973-12-30",8611,206,205,189,8,28,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,191,129,99,159,154,0,0,2,3,2,0,187,110,40,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,3,0,5,2,0,7,11,1,1,-4,-4,4,-3,60,0,0,0,123,0,0,0,0
19,"Danny","Garcia","Frankenstein",47,"1987-6-18",31762,56,208,182,7,9,6,24,1929,5,284000,1,0,0,78,78,72,74,4,43,48,0,12,3,7,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,4,-1,2,-1,1,3,0,0,8,10,1,1,-3,4,2,-7,63,38,34,76,0,0,0,0,0
20,"Will","Wright","",64,"1970-11-22",9691,206,185,184,5,20,5,13,0,0,352000,2,0,0,25,2,22,0,3,124,1,10,93,84,89,0,0,0,0,0,0,0,2,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,7,0,2,1,1,0,7,9,2,2,8,0,1,9,102,23,115,11,0,0,0,0,0
21,"Dean","Clark","",60,"1974-12-22",80442,206,190,185,4,10,4,177,0,0,42000,1,0,0,18,4,22,6,2,5,103,22,99,83,91,0,0,0,0,0,0,0,3,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,-6,1,-5,2,2,0,6,9,3,2,-3,-2,7,6,71,100,27,11,0,0,0,0,0
22,"Jonathan","Salvador","",61,"1973-1-13",69999,206,180,184,1,22,2,0,0,0,0,0,0,0,16,18,8,7,3,116,112,95,92,111,102,0,0,0,0,0,0,1,2,0,0,0,119,0,0,0,0,1,0,-1,-1,0,1,-1,3,0,0,0,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,-1,0,0,7,3,3,-5,3,-3,0,-1,0,5,11,2,2,-9,4,-8,3,153,110,113,13,0,0,0,0,0
23,"David","Fleming","",54,"1979-12-26",66319,206,230,190,2,9,3,14,0,0,196000,1,0,0,3,11,1,5,3,70,56,68,75,69,72,0,0,0,0,0,0,5,2,0,0,0,75,0,0,0,0,1,3,3,2,2,-1,-3,0,4,0,0,-1,-1,1,2,3,1,3,3,3,2,2,3,0,0,-1,-4,-4,6,-5,1,3,-2,-1,5,11,4,0,-1,0,-7,3,95,60,71,5,0,0,0,0,0
24,"Josh","Grahn","",37,"1997-8-31",10077,206,226,192,3,0,1,18,4001,4,280000,3,0,0,51,61,58,66,3,2,19,26,10,5,7,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,3,3,1,0,-7,3,0,0,7,9,2,2,1,-1,-1,2,19,16,3,59,0,0,0,0,0
25,"Scott","Voris","",51,"1983-7-14",24732,206,190,181,8,12,12,5,0,0,296000,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,190,155,49,190,145,0,1,1,3,1,0,132,124,159,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-2,-1,3,5,-2,1,1,0,4,10,5,1,-3,0,7,-3,70,0,0,0,143,0,0,0,0
26,"Rogelio","Medina","",50,"1984-6-14",70133,56,202,182,7,9,6,6,1069,5,312000,1,0,0,86,77,78,82,1,19,27,15,5,22,13,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,-1,2,3,5,1,0,5,9,3,3,-3,3,2,-2,61,24,18,82,0,0,0,0,0
27,"Josh","Derrick","",36,"1998-4-24",4411,206,193,186,5,0,5,0,9099,0,0,0,0,0,13,2,15,0,2,79,6,38,75,81,78,0,0,0,0,0,0,1,0,3,3,0,28,0,0,0,0,0,-1,-1,-1,-1,1,-1,3,1,-1,-1,0,-1,0,-1,-1,1,1,-1,0,0,1,1,0,0,0,5,0,0,5,-2,2,-2,0,6,12,2,0,5,4,0,6,41,24,79,6,0,0,0,0,0
28,"Tyler","Bryant","",70,"1964-9-20",63570,206,210,186,4,27,4,23,0,0,362000,1,0,0,23,3,25,4,3,24,136,32,146,96,121,0,0,0,0,0,0,0,3,1,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-3,-2,-6,8,1,2,2,0,4,12,3,1,1,8,-2,-6,133,132,48,12,0,0,0,0,0
29,"Jonathan","Scroggins","",52,"1982-11-26",55211,206,220,189,1,0,2,0,0,0,0,0,0,0,4,15,7,8,1,64,86,60,83,84,83,0,0,0,0,0,0,5,2,3,3,0,81,0,0,0,0,3,3,2,2,2,-3,-1,0,3,1,0,-1,1,-1,3,3,-1,3,3,3,3,2,3,0,0,5,3,0,-5,-2,-1,4,0,0,8,9,2,1,4,7,5,-3,60,85,69,8,0,0,0,0,0
30,"Peter","Winters","",68,"1966-12-1",72585,206,195,186,1,33,2,0,0,0,0,0,0,0,27,9,21,0,2,104,60,87,101,81,91,0,0,0,0,0,0,1,4,3,3,0,106,0,0,0,0,-1,1,0,-1,-1,1,-1,2,-1,0,0,1,0,-1,0,-1,1,1,-1,0,0,0,0,0,0,-2,5,2,4,-1,7,2,1,0,6,11,2,1,7,0,-3,-8,100,68,101,13,0,0,0,0,0
31,"Jose","Benavides","",56,"1978-4-23",1405,206,190,188,3,14,1,7,0,4,832000,2,0,0,61,67,51,61,3,17,15,21,8,12,10,0,0,0,0,0,0,0,2,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,-2,2,-5,-4,2,0,-1,6,10,2,2,1,-8,4,-6,80,14,15,61,0,0,0,0,0
32,"Kurt","Fernbach","",56,"1978-6-11",27007,206,215,184,8,18,12,14,0,0,274000,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,78,72,116,34,110,0,2,3,1,3,0,200,172,113,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,3,0,-3,4,-5,2,-1,0,5,10,3,2,7,1,7,6,60,0,0,0,107,0,0,0,0
33,"Jaden","Williams","",64,"1970-11-14",41955,206,190,182,7,22,6,9,0,5,440000,4,0,0,116,87,115,82,3,1,32,29,19,9,14,0,0,0,0,0,0,0,0,2,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,1,0,5,1,4,1,0,7,9,2,2,-8,2,-5,7,62,28,4,98,0,0,0,0,0
34,"Kyle","Nyland","",62,"1972-8-11",43325,206,210,192,5,13,5,0,0,0,0,0,0,0,10,26,8,25,3,93,14,25,87,102,94,0,0,0,0,0,0,0,2,2,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,0,-2,-2,1,0,0,6,9,3,2,-3,6,-4,-6,72,34,93,18,0,0,0,0,0
35,"Roy","Lopez","",59,"1975-3-20",75698,206,215,185,4,10,4,0,0,0,0,0,0,0,10,5,14,1,2,28,89,23,100,83,92,0,0,0,0,0,0,0,2,2,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9,5,1,-1,-3,1,0,0,8,10,1,1,-1,-1,-1,0,73,90,44,6,0,0,0,0,0
36,"Steve","Heinzerling","",54,"1980-10-13",69896,206,185,186,1,23,2,10,0,0,1436000,1,0,0,14,2,4,0,3,86,64,70,76,84,80,0,0,0,0,0,0,5,0,3,3,0,67,0,0,0,0,1,3,2,2,3,-1,-3,-2,3,1,-1,0,1,1,1,1,1,3,3,3,3,3,3,0,0,3,1,1,-1,-3,2,2,0,-1,5,10,4,1,2,2,2,-2,129,68,85,6,0,0,0,0,0
37,"Ralph","Strugala","",45,"1989-9-9",55235,206,210,184,1,0,2,0,617,0,0,0,0,0,21,12,22,13,3,85,95,86,89,76,82,0,0,0,0,0,0,1,4,2,3,0,87,0,0,0,0,0,0,-1,1,-1,0,1,3,-1,0,1,1,-1,0,-1,0,-1,0,1,-1,1,-1,-1,0,0,-5,0,5,-3,0,4,2,1,0,6,8,3,3,2,4,-2,-4,68,92,84,16,0,0,0,0,0
38,"Blake","Ianno","",52,"1982-11-28",40899,206,180,182,3,14,1,30,0,0,1190000,3,0,0,44,44,53,38,3,13,23,15,8,13,10,0,0,0,0,0,0,0,2,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,5,1,-5,-4,2,1,-1,5,10,3,2,7,1,-1,-1,79,20,12,43,0,0,0,0,0
39,"William","Miller","",35,"1999-4-13",14956,206,195,177,8,4,12,16,0,0,202000,3,0,0,0,0,1,1,3,0,0,0,0,0,0,0,87,150,23,175,151,0,3,3,0,1,0,49,200,178,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,-1,-1,0,-1,0,8,10,2,0,-7,-3,1,3,50,0,0,0,125,0,0,0,0
40,"Ernie","Ceccacci","",53,"1981-9-16",49272,206,200,185,7,11,6,15,0,4,310000,2,0,0,73,77,71,70,4,26,11,20,24,24,24,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,2,-5,-3,4,-6,5,-2,0,6,12,2,0,-6,-3,-1,3,52,14,26,73,0,0,0,0,0
41,"Steve","DuFour","",63,"1971-2-22",48169,206,200,186,5,21,5,0,0,0,0,0,0,0,26,12,28,26,1,98,16,12,90,97,94,0,0,0,0,0,0,0,4,3,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,1,2,-3,1,5,1,-1,4,11,3,2,2,3,-3,-5,82,36,97,23,0,0,0,0,0
42,"Brian","Beazley","",74,"1960-7-14",26704,206,200,186,1,29,2,0,0,0,0,0,0,0,13,18,20,25,2,33,141,41,137,103,120,0,0,0,0,0,0,3,2,3,3,0,68,0,0,0,0,2,-1,3,2,1,2,1,0,0,3,3,3,3,3,1,1,0,-1,2,1,1,-2,0,0,0,-2,0,-2,-3,6,3,2,-1,0,4,11,4,1,0,-6,3,1,104,136,55,19,0,0,0,0,0
43,"Robby","Oglesby","",68,"1966-10-3",49808,206,225,194,1,31,2,0,0,0,0,0,0,0,20,14,30,4,2,127,132,96,122,109,116,0,0,0,0,0,0,5,0,3,1,0,104,0,0,0,0,3,1,2,3,2,-1,-3,-2,3,0,0,-1,0,1,3,1,1,3,2,3,3,2,3,0,0,1,4,2,-2,-4,4,5,-1,-1,8,8,3,1,-6,-3,-6,-2,157,128,124,14,0,0,0,0,0
44,"Juan","Martinez","",64,"1970-9-29",55075,206,205,186,1,23,2,0,0,0,0,0,0,0,16,22,15,31,3,94,133,132,107,121,114,0,0,0,0,0,0,5,2,3,2,0,139,0,0,0,0,2,1,2,2,3,-2,-1,-2,3,0,1,-1,1,-1,2,3,1,2,3,2,3,3,3,0,0,2,-5,-5,-3,0,0,1,1,0,5,9,3,3,-6,-1,0,-4,142,128,99,22,0,0,0,0,0
45,"Tim","Willoughby","",57,"1977-7-20",31383,206,210,193,3,24,1,28,0,4,830000,3,0,0,63,58,62,49,3,21,1,25,5,21,13,0,0,0,0,0,0,0,2,1,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-2,-1,-5,-1,4,1,-1,6,10,2,2,4,-1,1,-2,90,4,19,57,0,0,0,0,0
46,"Guillermo","Elias","",57,"1977-10-3",75346,206,205,184,8,20,12,4,0,0,366000,4,0,0,0,0,11,9,1,0,0,0,0,0,0,0,153,182,100,174,200,0,2,3,3,3,0,157,112,164,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3,-4,-2,-3,1,0,0,-1,5,10,3,2,-2,2,-2,-2,70,0,0,4,148,0,0,0,0
47,"Dave","Aguilar","",53,"1981-10-3",63283,56,190,186,3,17,6,7,0,7,734000,2,0,0,138,172,152,179,0,43,39,42,1,15,8,0,0,0,0,0,0,0,0,3,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,2,1,-3,3,1,0,7,11,2,0,-4,-6,0,-4,99,31,34,161,0,0,0,0,0
48,"Manny","Vazquez","",58,"1976-11-20",67611,56,190,185,5,22,5,10,0,0,184000,2,0,0,9,9,18,17,3,113,27,43,106,85,96,0,0,0,0,0,0,5,0,3,0,0,50,0,0,0,0,3,2,3,2,3,-1,-1,-2,3,1,-1,0,1,1,3,2,0,3,3,3,3,3,3,0,0,-4,-2,8,1,-4,0,4,2,-1,4,10,4,2,2,-4,4,0,74,44,109,13,0,0,0,0,0
49,"Craig","Brown","",50,"1984-9-14",75882,206,200,182,4,2,3,29,722,0,188000,2,0,0,9,20,17,20,1,65,106,44,87,78,83,0,0,0,0,0,0,1,2,3,3,0,63,0,0,0,0,1,-1,-1,-1,-1,0,0,3,0,-1,-1,-1,0,1,0,-1,-1,1,0,0,1,1,0,0,0,-9,-6,-2,-6,2,-9,1,-1,0,6,10,2,2,3,-2,7,-1,58,100,70,16,0,0,0,0,0
50,"John","Arduser","",61,"1973-5-31",25329,206,220,192,1,12,2,0,0,0,0,0,0,0,14,20,8,28,3,100,106,83,89,113,101,0,0,0,0,0,0,1,3,3,0,0,99,0,0,0,0,0,0,0,-1,0,-1,-1,3,-1,-1,1,0,1,0,-1,-1,-1,-1,1,-1,0,-1,0,0,0,8,-2,3,3,0,-2,2,0,0,7,9,3,1,0,4,8,-8,115,105,100,19,0,0,0,0,0
51,"Lorenzo","Baez","",41,"1993-4-19",49070,49,245,187,1,0,2,0,1649,0,0,0,0,0,8,15,13,10,1,93,57,93,86,89,87,0,0,0,0,0,0,1,2,0,3,0,96,0,0,0,0,-1,-1,-1,1,1,0,-1,3,0,1,0,-1,1,0,-1,0,1,1,-1,0,-1,1,0,0,0,-7,-5,-2,0,1,-4,0,0,0,6,11,2,1,5,-8,8,2,67,65,92,11,0,0,0,0,0
52,"Rich","Pfeffer","",52,"1982-4-30",41955,206,205,186,3,14,1,23,0,0,1150000,1,0,0,41,49,49,51,0,43,31,0,21,23,22,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,2,-1,-5,-5,8,3,1,-1,7,11,2,0,1,-8,-8,2,113,29,38,47,0,0,0,0,0
53,"John","Meinberg","",58,"1976-7-14",26041,206,215,196,8,17,12,1,0,0,208000,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,165,47,143,159,60,0,2,3,3,2,0,151,62,42,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,3,1,0,0,-3,3,1,0,6,10,2,2,5,-2,-2,-5,60,0,0,1,107,0,0,0,0
54,"Darrell","O'Connell","",51,"1983-4-5",34533,206,185,177,7,12,6,25,0,5,296000,1,0,0,78,81,84,79,1,16,12,7,24,13,18,0,0,0,0,0,0,0,3,2,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3,-3,3,-1,-6,5,0,0,6,11,2,1,4,7,2,-1,59,14,17,80,0,0,0,0,0
55,"Kyle","Dycus","",71,"1963-10-8",12985,206,220,188,1,26,2,0,0,0,0,0,0,0,13,19,15,22,2,145,89,42,146,99,123,0,0,0,0,0,0,3,2,2,2,0,58,0,0,0,0,3,-1,1,2,1,1,0,1,0,1,4,3,3,3,2,1,1,-1,2,1,1,-2,1,0,0,8,-4,6,-2,3,-2,1,1,0,8,10,1,1,7,-4,9,-3,131,98,140,18,0,0,0,0,0
56,"Bob","Marquez","",56,"1978-2-25",28482,206,207,184,4,11,4,105,897,0,94000,2,0,0,23,9,29,13,3,25,108,29,69,102,86,0,0,0,0,0,0,1,1,3,3,0,67,0,0,0,0,1,0,0,1,0,1,-1,4,0,-1,0,1,1,1,0,0,-1,0,1,1,0,-1,1,0,0,0,5,0,-2,3,7,3,0,0,5,11,2,2,-2,-1,-1,2,102,103,40,17,0,0,0,0,0
57,"Travis","Trudeau","",75,"1959-1-12",37613,206,195,187,1,29,2,0,0,0,0,0,0,0,9,17,0,10,3,130,171,153,114,115,115,0,0,0,0,0,0,1,3,3,1,0,133,0,0,0,0,-1,1,0,0,0,1,1,3,-1,1,-1,1,-1,0,0,1,0,-1,-1,0,0,-1,0,0,0,-2,4,3,3,0,-6,2,0,0,4,11,4,1,0,-3,8,-6,124,157,126,10,0,0,0,0,0
58,"John","Perez","",62,"1972-5-9",76476,206,210,183,1,30,2,76,0,0,322000,1,0,0,2,12,3,23,1,93,76,77,68,60,64,0,0,0,0,0,0,1,2,3,2,0,85,0,0,0,0,1,0,0,-1,0,-1,1,2,1,-1,0,-1,1,1,-1,-1,-1,0,1,0,0,1,0,0,0,6,-3,4,-3,2,3,0,1,0,5,9,3,3,4,0,2,0,83,73,86,11,0,0,0,0,0
59,"Troy","Carpenter","",57,"1977-11-9",2891,206,220,199,3,21,1,24,0,4,1076000,3,0,0,55,51,65,62,2,27,23,26,25,21,23,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,3,-1,0,4,-2,0,5,10,3,2,-2,0,0,-1,64,23,26,58,0,0,0,0,0
