player_id,team_id,league_id,position,role,fielding_ratings_infield_range,fielding_ratings_infield_arm,fielding_ratings_turn_doubleplay,fielding_ratings_outfield_range,fielding_ratings_outfield_arm,fielding_ratings_catcher_arm,fielding_ratings_catcher_ability,fielding_ratings_infield_error,fielding_ratings_outfield_error,fielding_experience0,fielding_experience1,fielding_experience2,fielding_experience3,fielding_experience4,fielding_experience5,fielding_experience6,fielding_experience7,fielding_experience8,fielding_experience9,fielding_rating_pos1,fielding_rating_pos2,fielding_rating_pos3,fielding_rating_pos4,fielding_rating_pos5,fielding_rating_pos6,fielding_rating_pos7,fielding_rating_pos8,fielding_rating_pos9
15,0,0,3,0,1,11,1,28,35,1,1,18,41,0,0,0,200,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
16,0,0,4,0,104,85,144,22,33,10,1,135,44,0,0,0,4,200,3,0,0,0,0,0,0,3,118,1,0,0,0,0
17,0,0,5,0,35,123,18,1,106,9,1,69,95,0,0,0,0,0,200,0,0,0,0,0,0,0,0,7,0,0,0,0
18,0,0,6,0,92,111,106,88,172,4,1,129,77,0,0,0,0,200,146,200,0,0,142,0,0,0,94,62,54,0,0,74
19,0,0,4,0,1,1,41,31,10,10,1,73,101,0,0,0,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,0,0,4,0,68,115,146,7,64,6,1,97,99,0,0,0,0,200,36,83,0,0,0,0,0,0,77,13,0,0,0,0
21,0,0,7,0,2,69,19,34,121,1,1,18,108,0,0,0,153,0,0,0,187,0,0,0,0,12,0,0,0,36,0,0
22,0,0,7,0,71,31,119,57,102,7,1,106,97,0,0,0,15,200,0,0,168,115,151,0,0,12,68,0,0,50,0,34
23,0,0,9,0,13,75,10,87,155,1,1,16,107,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,101
24,0,0,6,0,134,111,157,139,161,3,1,143,191,0,0,0,138,141,49,200,7,192,195,0,0,122,108,29,117,6,109,165
25,0,0,8,0,23,91,6,14,111,1,1,129,90,0,0,0,0,0,0,0,0,142,200,0,0,0,0,0,0,0,0,1
26,0,0,9,0,89,146,61,115,185,2,1,119,119,0,0,0,16,168,200,151,0,0,157,0,0,12,63,99,28,0,0,113
27,0,0,7,0,35,55,70,79,89,10,1,57,138,0,0,0,0,0,0,0,200,154,199,0,0,0,0,0,0,88,0,68
28,0,0,3,0,8,21,18,1,28,11,1,67,4,0,0,0,200,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0
29,0,0,3,0,1,1,81,13,14,8,2,60,98,0,0,0,162,197,0,0,0,0,0,0,0,31,0,0,0,0,0,0
30,0,0,3,0,112,50,83,65,116,11,1,98,101,0,0,0,59,0,0,0,187,0,200,0,0,52,0,0,0,68,0,60
31,0,0,6,0,112,166,145,53,159,1,7,112,96,0,0,0,0,200,0,200,0,0,0,0,0,0,123,0,86,0,0,0
32,0,0,2,0,33,63,15,52,68,105,140,47,64,0,0,200,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0
33,0,0,9,0,45,64,6,52,144,10,1,64,98,0,0,0,0,0,0,0,200,0,200,0,0,0,0,0,0,63,0,59
34,0,0,1,12,28,96,6,43,67,1,1,77,33,0,200,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0
35,0,0,1,12,41,40,6,9,51,9,1,43,13,0,200,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
36,0,0,1,12,18,88,6,13,2,11,1,30,83,0,200,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0
37,0,0,1,12,21,133,20,22,30,4,11,21,44,0,200,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0
38,0,0,1,12,18,93,16,4,42,11,1,41,63,0,200,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0
39,0,0,3,0,6,108,1,55,34,2,2,5,32,0,0,0,63,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
40,0,0,1,12,24,117,14,48,62,2,2,25,49,0,200,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0
41,0,0,1,11,24,72,3,74,4,10,1,18,75,0,200,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0
42,0,0,1,11,72,106,15,39,69,2,4,42,39,0,200,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0
43,0,0,1,11,32,72,18,1,95,7,1,33,28,0,200,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
44,0,0,1,12,56,107,79,26,44,8,9,19,19,0,200,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0
45,0,0,1,11,39,154,23,35,69,10,1,9,46,0,200,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0
46,0,0,1,11,58,157,8,51,17,3,3,50,16,0,200,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,0,0
47,0,0,1,11,14,77,32,10,41,8,1,47,16,0,200,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0
48,0,0,1,12,42,136,6,64,46,6,1,39,9,0,200,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0
49,0,0,1,12,5,99,6,39,3,2,1,33,28,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,0,0,1,12,58,80,55,51,52,11,10,54,40,0,200,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0
51,0,0,1,11,32,94,6,18,17,9,1,53,19,0,200,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0
52,0,0,1,12,32,104,50,69,131,3,6,29,44,0,200,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
53,0,0,1,12,22,147,12,78,105,6,1,54,50,0,200,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0
54,0,0,1,12,26,169,48,25,22,11,1,27,44,0,200,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0
55,0,0,1,12,32,101,13,1,25,3,1,67,27,0,200,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0
56,0,0,1,11,33,115,45,11,34,8,1,36,85,0,200,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0
57,0,0,1,12,12,134,11,1,44,4,1,65,16,0,200,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0
58,0,0,2,0,37,20,15,17,21,108,97,36,79,0,0,200,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0
59,0,0,2,0,1,34,13,1,40,72,55,21,67,0,0,200,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
60,0,0,3,0,33,59,6,18,19,9,1,67,33,0,0,0,200,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
61,0,0,5,0,83,169,150,34,107,6,1,105,65,0,0,0,0,200,200,200,0,0,0,0,0,0,98,119,57,0,0,0
62,0,0,3,0,132,177,70,22,163,6,1,110,99,0,0,0,200,4,200,43,0,0,0,0,0,164,2,141,18,0,0,0
63,0,0,5,0,105,143,112,130,150,8,1,78,110,0,0,0,0,162,156,194,0,0,0,0,0,0,75,78,55,0,0,0
64,0,0,6,0,81,122,99,1,117,1,1,108,100,0,0,0,8,4,17,200,0,0,0,0,0,6,2,7,36,0,0,0
65,0,0,4,0,1,43,115,1,28,3,1,86,95,0,0,0,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,0,0,3,0,15,123,34,12,125,9,1,57,105,0,0,0,200,0,106,0,108,0,0,0,0,53,0,0,0,0,0,0
67,0,0,8,0,42,116,97,39,151,8,1,92,161,0,0,0,0,0,0,187,191,196,179,0,0,0,0,0,0,57,0,43
68,0,0,7,0,1,15,6,1,103,2,1,13,155,0,0,0,0,0,0,0,200,0,6,0,0,0,0,0,0,1,0,0
69,0,0,9,0,22,65,6,45,79,6,5,25,93,0,0,0,0,0,0,0,0,28,200,0,0,0,0,0,0,0,0,22
70,0,0,7,0,1,75,14,66,116,9,1,18,76,0,0,0,0,0,0,0,200,0,146,0,0,0,0,0,0,70,0,42
71,0,0,3,0,38,38,1,35,21,9,1,33,57,0,0,0,200,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0
72,0,0,7,0,26,42,4,54,69,7,9,22,94,0,0,0,0,0,0,0,200,0,146,0,0,0,0,0,0,47,0,19
73,0,0,3,0,7,12,1,35,36,8,2,49,32,0,0,0,200,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
74,0,0,2,0,37,42,17,20,56,84,141,27,38,0,0,200,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0
75,0,0,9,0,37,87,6,73,116,10,4,33,119,0,0,0,0,0,0,0,43,0,200,0,0,0,0,0,0,18,0,71
76,0,0,4,0,92,46,111,90,31,10,1,115,126,0,0,0,0,200,0,0,0,0,0,0,0,0,87,0,0,0,0,0
77,0,0,7,0,44,91,22,64,121,7,1,39,97,0,0,0,67,0,0,0,179,0,130,0,0,24,0,0,0,64,0,39
78,0,0,3,0,33,55,21,1,17,9,1,47,15,0,0,0,200,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0
79,0,0,1,12,38,105,14,41,18,8,6,14,57,0,200,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
80,0,0,1,12,54,143,23,94,50,6,7,34,15,0,200,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0
81,0,0,1,11,27,93,13,23,46,6,4,59,15,0,200,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0
82,0,0,1,12,44,67,3,65,31,3,1,64,48,0,200,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0
83,0,0,1,12,28,120,33,33,35,3,1,52,57,0,200,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0
84,0,0,3,0,26,114,6,51,3,9,1,64,61,0,198,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0
85,0,0,1,11,46,139,43,50,68,7,9,53,34,0,200,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0
86,0,0,1,11,41,109,16,36,87,3,1,38,14,0,200,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0
87,0,0,1,11,22,89,19,12,79,2,5,15,83,0,200,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
88,0,0,1,11,79,89,6,54,13,6,1,39,15,0,200,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0
89,0,0,1,11,37,121,1,66,54,6,4,19,64,0,200,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
90,0,0,3,0,46,91,6,70,90,3,5,54,11,0,197,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0
91,0,0,1,11,10,78,6,1,15,8,1,60,18,0,200,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0
92,0,0,1,11,45,131,6,48,38,7,4,21,38,0,200,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0
93,0,0,1,12,10,95,17,1,108,6,1,47,141,0,200,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0
94,0,0,1,11,33,109,6,39,35,4,4,39,23,0,200,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0
95,0,0,1,11,24,67,30,13,83,9,1,90,12,0,200,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
96,0,0,1,13,20,108,17,55,56,3,8,45,16,0,200,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0
97,0,0,1,13,44,104,19,38,25,9,2,32,78,0,200,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0
98,0,0,1,13,44,110,18,31,14,6,1,47,12,0,200,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0
99,0,0,1,12,1,117,46,1,12,7,1,116,24,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100,0,0,1,12,36,76,6,49,47,10,1,19,34,0,200,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0
101,0,0,1,12,41,93,22,34,49,10,1,19,64,0,200,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0
102,0,0,1,12,43,88,6,49,54,9,8,52,39,0,200,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0
103,0,0,2,0,4,19,16,1,16,127,95,55,27,0,0,200,47,0,0,0,0,0,0,0,111,10,0,0,0,0,0,0
104,0,0,2,0,14,28,13,1,28,48,79,62,12,0,0,200,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0
105,0,0,3,0,23,17,1,12,81,9,1,35,8,0,0,0,200,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
106,0,0,4,0,17,1,48,44,23,4,2,33,76,0,0,0,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0
107,0,0,5,0,42,99,15,1,90,8,1,91,77,0,0,0,0,0,200,0,0,0,0,0,0,0,0,22,0,0,0,0
108,0,0,4,0,62,36,102,69,77,4,1,142,97,0,0,0,0,5,0,200,4,0,0,0,0,0,2,0,1,1,0,0
109,0,0,4,0,1,1,61,30,53,9,6,1,141,0,0,0,0,200,32,0,0,0,0,0,0,0,1,0,0,0,0,0
110,0,0,5,0,29,139,18,34,146,2,1,94,112,0,0,0,200,0,200,0,0,0,0,0,0,85,0,1,0,0,0,0
111,0,0,7,0,31,94,14,53,161,3,6,23,103,0,0,0,30,0,0,0,200,0,197,0,0,8,0,0,0,69,0,67
112,0,0,7,0,119,68,105,54,68,10,4,104,99,0,0,0,0,0,0,0,200,200,25,0,0,0,0,0,0,48,1,3
113,0,0,7,0,2,47,7,91,160,1,1,12,102,0,0,0,0,0,0,0,200,154,0,0,0,0,0,0,0,114,14,0
114,0,0,8,0,26,47,6,101,101,11,1,27,163,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,40,0
115,0,0,7,0,14,53,1,20,64,4,1,43,105,0,0,0,175,0,0,0,200,0,169,0,0,31,0,0,0,1,0,0
116,0,0,4,0,121,53,128,85,103,3,1,116,91,0,0,0,0,200,0,0,139,170,150,0,0,0,119,0,0,64,0,55
117,0,0,2,0,41,127,80,27,116,140,100,85,94,0,0,200,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0
118,0,0,3,0,2,1,1,16,37,2,1,1,36,0,0,0,200,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
119,0,0,7,0,4,63,1,80,146,10,4,14,97,0,0,0,0,0,0,0,200,48,198,0,0,0,0,0,0,97,0,87
120,0,0,5,0,95,148,61,53,146,2,1,110,95,0,0,0,0,0,200,18,0,0,0,0,0,0,0,101,4,0,0,0
121,0,0,3,0,57,144,41,89,161,6,8,31,97,0,0,0,169,0,0,0,184,92,199,0,0,75,0,0,0,102,0,103
122,0,0,3,0,1,1,1,19,13,8,6,1,45,0,0,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
123,0,0,2,0,1,23,12,52,38,59,61,44,68,0,0,200,116,0,0,0,0,0,0,0,31,15,0,0,0,0,0,0
124,0,0,3,0,11,58,1,47,40,6,7,62,101,0,188,0,156,0,0,0,0,0,0,52,0,43,0,0,0,0,0,0
125,0,0,1,11,10,103,1,1,61,8,1,54,65,0,200,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0
126,0,0,1,12,1,90,6,62,13,4,1,51,13,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
127,0,0,1,11,34,101,2,60,40,10,11,34,13,0,200,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
128,0,0,7,0,18,189,14,49,134,7,1,20,36,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0
129,0,0,7,0,37,105,49,111,68,2,1,30,71,0,0,0,0,0,0,0,95,0,6,0,0,0,0,0,0,53,0,2
130,0,0,1,11,20,117,44,67,15,11,6,45,25,0,200,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0
131,0,0,1,12,45,95,44,20,27,11,1,24,22,0,200,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
132,0,0,1,11,12,57,6,45,10,11,1,56,22,0,200,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0
133,0,0,3,0,77,109,2,58,35,11,2,31,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,1,12,29,97,6,10,14,4,6,31,17,0,200,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0
135,0,0,1,12,40,97,4,60,66,6,4,63,13,0,200,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0
136,0,0,1,11,1,106,32,2,19,2,1,43,46,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
137,0,0,1,11,29,103,6,25,28,6,1,46,19,0,200,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0
138,0,0,1,11,1,51,6,1,19,8,1,66,10,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
139,0,0,3,0,42,129,6,63,43,11,11,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,1,11,28,50,24,15,16,1,1,56,10,0,200,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0
141,0,0,1,11,25,102,6,53,42,1,1,41,135,0,200,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
142,0,0,1,12,28,118,6,32,64,9,9,85,53,0,200,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0
143,0,0,1,12,30,192,6,12,21,7,1,27,88,0,200,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0
144,0,0,1,12,1,80,17,14,20,6,1,23,29,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
145,0,0,1,12,36,105,13,53,16,11,1,38,33,0,200,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0
146,0,0,1,13,14,133,6,11,25,1,8,46,63,0,200,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0
147,0,0,1,12,21,119,17,27,39,9,6,72,18,0,200,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0
148,0,0,2,0,1,15,19,6,25,66,58,18,12,0,0,200,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0
149,0,0,2,0,39,16,14,87,19,43,121,23,22,0,0,200,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0
150,0,0,3,0,7,44,1,32,52,10,1,30,63,0,0,0,200,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
151,0,0,4,0,81,66,127,1,19,10,1,103,92,0,0,0,0,200,0,0,0,0,0,0,0,0,81,0,0,0,0,0
152,0,0,3,0,80,179,68,89,163,8,1,55,93,0,0,0,199,116,187,63,0,0,156,0,0,128,29,93,4,0,0,81
153,0,0,6,0,79,117,116,41,72,11,1,96,93,0,0,0,0,200,80,116,0,0,0,0,0,0,76,30,14,0,0,0
154,0,0,6,0,150,77,112,112,47,4,1,86,65,0,0,0,0,200,0,200,0,50,50,0,0,0,130,0,100,0,10,3
155,0,0,6,0,117,140,88,131,174,3,1,91,139,0,0,0,0,199,160,200,160,152,108,0,0,0,98,84,65,136,71,86
156,0,0,7,0,1,63,1,24,103,1,1,14,104,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,1,0,0
157,0,0,7,0,67,74,75,145,142,11,1,69,166,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,183,119,0
158,0,0,9,0,9,122,22,78,164,7,1,34,120,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,98
159,0,0,8,0,95,95,101,78,142,4,1,85,82,0,0,0,0,0,0,12,0,200,200,0,0,0,0,0,2,0,1,82
160,0,0,8,0,22,68,7,75,92,1,1,24,124,0,0,0,9,0,0,0,0,200,140,0,0,2,0,0,0,0,1,44
161,0,0,5,0,29,152,160,32,150,6,1,97,93,0,0,0,45,99,198,132,152,80,156,0,0,22,0,22,0,31,0,0
162,0,0,5,0,40,120,19,25,140,2,3,103,60,0,0,0,0,0,200,0,0,0,0,0,0,0,0,45,0,0,0,0
163,0,0,5,0,82,143,69,13,162,7,1,168,109,0,0,0,16,200,199,165,0,0,0,0,0,12,87,108,38,0,0,0
164,0,0,7,0,36,65,45,72,118,11,2,33,122,0,0,0,200,0,0,0,164,200,135,0,0,56,0,0,0,69,1,48
165,0,0,9,0,48,129,36,59,191,8,8,55,111,0,0,0,114,0,0,0,188,0,155,0,0,57,0,0,0,80,0,69
166,0,0,2,0,1,82,19,98,89,100,80,43,65,0,0,200,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0
167,0,0,5,0,110,177,99,48,152,3,1,156,103,0,0,0,0,18,200,200,0,0,0,0,0,0,11,147,84,0,0,0
168,0,0,9,0,18,146,4,40,174,4,2,11,123,0,0,0,133,0,0,0,195,0,197,0,0,22,0,0,0,59,0,63
169,0,0,1,11,40,106,40,33,26,2,1,37,26,0,200,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0
170,0,0,1,12,32,62,7,14,62,8,4,49,19,0,200,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0
171,0,0,1,12,15,110,10,13,63,9,1,40,47,0,200,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0
172,0,0,3,0,43,110,11,46,65,1,6,15,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0,1,12,48,107,10,22,13,8,4,7,74,0,200,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0
174,0,0,1,11,21,99,12,9,44,11,6,13,37,0,200,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0
175,0,0,1,12,38,68,8,40,51,11,1,19,14,0,200,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0
176,0,0,1,12,46,145,9,49,19,6,7,45,45,0,200,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0
177,0,0,1,12,35,120,7,28,59,3,3,53,67,0,200,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0
178,0,0,1,12,26,83,28,18,29,3,10,43,24,0,200,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0
179,0,0,1,12,4,84,6,19,36,1,1,30,46,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
180,0,0,1,11,19,113,6,28,76,11,2,60,32,0,200,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
181,0,0,1,11,43,96,3,1,14,2,1,36,17,0,200,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
182,0,0,1,12,25,87,24,7,28,7,1,53,49,0,199,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
183,0,0,1,11,1,150,80,1,18,6,1,1,15,0,200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
184,0,0,1,11,23,102,9,2,18,7,1,16,14,0,200,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0
185,0,0,1,11,22,70,1,6,33,1,1,46,19,0,200,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0
186,0,0,1,11,68,134,11,11,17,10,1,13,67,0,200,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0
187,0,0,1,12,15,68,6,18,35,6,1,30,71,0,200,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0
188,0,0,1,12,34,106,15,47,30,10,1,67,16,0,200,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0
189,0,0,1,12,35,77,12,10,59,1,1,50,18,0,200,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0
190,0,0,1,12,29,98,8,9,53,3,1,31,16,0,200,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0
191,0,0,3,0,14,100,6,24,7,11,1,49,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,1,12,24,82,56,65,175,4,4,97,21,0,200,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0
193,0,0,2,0,44,27,12,26,42,102,81,47,39,0,0,200,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0
194,0,0,2,0,13,31,10,9,35,82,102,56,58,0,0,200,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0
195,0,0,3,0,1,50,48,1,64,6,7,95,43,0,0,0,200,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
196,0,0,4,0,24,22,97,67,53,10,4,49,99,0,0,0,0,200,106,140,126,0,87,0,0,0,1,0,0,38,0,1
197,0,0,5,0,39,116,1,102,182,26,26,48,129,0,0,0,165,0,200,0,0,0,9,0,0,69,0,1,0,0,0,6
198,0,0,6,0,45,34,44,57,93,7,1,1,121,0,0,0,0,200,0,172,0,0,0,0,0,0,1,0,0,0,0,0
199,0,0,6,0,32,75,107,22,45,11,1,154,97,0,0,0,0,200,145,138,45,0,0,0,0,0,1,0,0,0,0,0
200,0,0,5,0,105,141,53,96,173,4,1,135,107,0,0,0,0,0,200,0,0,0,0,0,0,0,0,108,0,0,0,0
201,0,0,7,0,10,102,1,46,146,4,1,9,84,0,0,0,0,0,0,0,200,0,200,0,0,0,0,0,0,55,0,51
202,0,0,8,0,77,40,6,28,9,1,1,110,9,0,0,0,0,0,0,0,200,162,39,0,0,0,0,0,0,1,0,0
